Tanggal	Ranking	Episode	Deskripsi	Penerbit	Bahasa	Rilis
2024-09-02	82	Class Of Caring | Season 7 Eps. 2 #LibatinAllah	Yuk support kawasan pendidikan Pesan_Trend dan Program Dakwah ustadz Hanan Attaki lainnya. Buka website Pemuda Hijrah untuk informasi lebih lengkapnya. Official Account of Hanan Attaki | Managed by Shift Media Studio. For business inquiries please contact: 08971556543 (Dikha)..IG: https://www.instagram.com/hanan_attaki/ TikTok: https://www.tiktok.com/@hanan_attaki_  	Hanan Attaki	Bahasa Indonesia	2024-07-20
2024-09-02	83	Eps 53: Dijodohin Sama Tetangga, Wedding Agreement, Diendorse Pacar	Dijodohno ambek tonggo, Firza ditinggal rabi, review film Wedding Agreement.  Dengerin episode lainnya dari Podcast Lambemu di Aplikasi NOICE. Download NOICE ⁠⁠⁠⁠⁠⁠⁠⁠di sini!⁠	NOICE	Bahasa Indonesia	2024-08-30
2024-09-02	84	Gus dur - Syi'ir tanpo waton	Syi'ir yg di ciptakan oleh Gus Dur enak dan adem saat didengar	Rahmad Wijitriono	Bahasa Indonesia	2020-10-02
2024-09-02	85	MISTERI DIBALIK BAIT NYANYIAN	Sekitar tahun 2004 datang keluarga kecil yang pindah dipulau jawa yang berasal dari Jakarta disebuah rumah jawa kuno yang kabarnya dulu pada jaman belanda ada sebuah kelurga kecil yang tinggal dirumah jawa ini dan mempunyai seorang anak perempuan yang bernama nina, karena demam tinggi dan tidak sempat menciptakan lagu serta menyanyikannya untuk nina akhirnya nina meninggal dunia, namun keluarga kecil dari Jakarta tidak begitu percaya pada mitos tersebut.  Ingin berbagi kisah horror? Kirim cerita horormu ke Email : Nyeritainhoror@gmail.com Untuk informasi lainnya bisa cek di https://linktree.com/nyeritainhoror  • Pengisi Suara : Fidi Muhammad • Produksi : Nyeritain Horor  Mari berteman di Instagram Fidi Muhammad : https://bit.ly/3jrqHLN Nyeritain Horor : https://bit.ly/3HFSO7p  Copyright © 2024 GOOD NIGHT | FIDI MUHAMMAD | NYERITAIN HOROR  Powered by Firstory Hosting	Fidi Muhammad	Bahasa Indonesia	2024-08-21
2024-09-02	86	kalau lagi capek, denger ini	you made it this far.	Firdhani Zihan	Bahasa Indonesia	2023-06-20
2024-09-02	87	"KESAKSIAN SOPIR NGOPI DI WARUNG GHAIB ALAS ROBAN ""SIAL"" (EPS 355)"	"Kesaksian Mas Sogol sebagai seorang sopir pick up kelapa muda di tahun 2021 mengalami kejadian mistis yang membuatnya trauma jika melewati hutan angker Alas Roban. Mas Sogol dan temannya beristirahat ""ngopi"" disebuah warung ghaib yang dihuni oleh sosok ghaib wanita cantik berpakaian minim dan merasakan fenomena-fenomena diluar nalar manusia.  Host : Mang Ei Narasumber : Mas Sogol  Powered by Firstory Hosting"	Malam Mencekam Podcast	Bahasa Indonesia	2024-08-28
2024-09-02	88	Eps.146 - Kos Setan Purwokerto	Cerita horor dari Narasumber kita yang semasa kuliah menyewa kamar kost-kostan di kota Purwekerto, kosan itu dipenuhi oleh mahasiswa yang berkuliah di salah satu kampus ternama disana, Saat pertama kali menempati kost tersebut suasana terasa aman sewajarnya, namun suatu malam karena satu peristiwa yang terjadi disana, suasana berubah mencekam seketika, mulai banyak kejadian-kejadian horor mengerikan yang terjadi disana, bahkan beberapa mahasiswa sampai keluar dari kost tersebut, Penasaran bagaimana Narasumber kita bertahan selama bertahun-tahun  dengan gangguan yang terjadi? dan seperti apa gangguan gangguan diluar nalar yang terjadi disana?  Follow Instagram Kita : 👇 👇 https://www.instagram.com/loncengmystery  Powered by Firstory Hosting	Lonceng Mystery	Bahasa Indonesia	2024-08-22
2024-09-02	89	Agustus si Paling Sibuk - Sruput Nendang S8 E18 	Kayak setiap harinya ada aja gitu gebrakannya,, bikin rungsing ajh...	Marlo Ernesto & Marco Parama	Bahasa Indonesia	2024-09-01
2024-09-02	90	Dzikir Sore oleh Syaikh Mishari Rashid Alafasy 	Bacaan Dzikir Sore oleh Syaikh Mishari Rashid Alafasy dengan suaranya yang merdu	falasik	Bahasa Indonesia	2020-11-07
2024-09-02	91	Surah At Tahrim - Salim Bahanan	Surah At Tahrim  ---   Support this podcast: https://podcasters.spotify.com/pod/show/kajiandakwah/support	Kajian Dakwah	Bahasa Indonesia	2021-07-15
2024-09-02	92	Episode 144	Gayung bersambut, fasilitas kantor, pegawai heppiii, kostum nanas.	Podkesmas Asia	Bahasa Indonesia	2024-08-18
2024-09-02	93	S8E45: Manusia red flag, ngga usah diperjuangin	Selamat mendengarkan dan selamat tidur! Kirim cerita: www.temantidur.id  Instagram: podcast.temantidur TikTok: podcast.temantidur  Salyra Perfume: https://shopee.co.id/salyra.perfume 	Dera Firmansyah	Bahasa Indonesia	2024-08-17
2024-09-02	94	Eps. 63 - Anyun dan Adi Arkiang	special show Gilang Bhaskara, ketua RT, dan Sinar Mandala	Barry Williem dan Erwin Wu	Bahasa Indonesia	2024-08-26
2024-09-02	95	Ingon Ingon	Info ingon-ingon sing ora rewel, openane gampang, lan maeme sitik, Lur?  ********* Support Mandan Kenthir: https://saweria.co/podcastmandankenthir	Mandan Kenthir	Bahasa Indonesia	2024-08-19
2024-09-02	96	Mitos-Mitos Yang Dilanggar #1Malam6Cerita + Bonus 3 Cerita	Dengerin episode lengkapnya, klik ⁠⁠⁠⁠di sini⁠⁠⁠⁠!  Malam ini lebih panjang, karena gak hanya 1 malam 6 cerita, tapi ada bonus 3 cerita agar malam mu lebih panjang. Banyak mitos yang berkembang, ada yang percaya, malahan ada yang sengaja untuk mencoba mitos tersebut. Namun Hal itu malah mendatangkan kengerian buat orang yang coba-coba melanggar mitos. Part 1: Tetesan Jeruk Nipis Di Darah Korban. Part 2: Roh Gak Balik Karena Corat Coret Muka. Part 3: Tembang Durma Pemanggil Kuntilanak. Part 4: Dilarang Manggil Nama Di Sungai. Part 5:  Satu Tenda Bukan Muhrim. Part 6: Jangan Ketawa Keras-Keras. Bonus 1: Wanita Hamil Disukai Makhluk Astral. Bonus 2: Ngelangkahin Bambu Dibawa Wewe Gombel. Bonus 3: Bangku Kosong. Buat kamu yang punya cerita seram dan mau cerita nya dibawain di Scary Things bisa kirim cerita ke email kita di scarythings.indo@gmail.com  Dengerin episode lainnya dari Podcast Scary Things di Aplikasi NOICE. Download NOICE ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠di sini!	NOICE	Bahasa Indonesia	2024-08-20
2024-09-02	97	Episode Gilbhas Abdur Jupri	Show masing-masing, menjadi ayah, dikenali di kereta, kompetisi kekar.	Podkesmas Asia	Bahasa Indonesia	2024-08-15
2024-09-02	98	God Complex atau Narcissistic?? - Sruput Nendang S8 E17 	Tujuh belas agustus, Marlo Complexx??, Batas narsis seseorang	Marlo Ernesto & Marco Parama	Bahasa Indonesia	2024-08-23
2024-09-02	99	Putri Bungsu dan Putri Sulung | Dongeng Anak Bahasa Indonesia	Pak Jonas adalah seorang pandai besi. Ia hidup bersama istri dan kedua anaknya dengan bahagia, yaitu si sulung Sophia dan si bungsu Amelie. Seiring berjalannya waktu, sikap Pak Jonas pada Sophia berubah karena ia tak segera mendapatkan pasangan hidup yang sesuai dengan harapan Pak Jonas. Lantas, bagaimana nasib Sophia selanjutnya? Akankah ia bisa membuat Pak Jonas kembali bahagia? Yuk, kita cari tahu jawabannya melalui cerita ini!  	Educa Studio	Bahasa Indonesia	2024-08-30
2024-09-02	100	#78 KISAH SOPI BAJAJ PASCA TRAGEDI MEI 98 - PENUMPANG GOSONG	  #podcastmisteri #timurmisteri Ikuti kami juga di : Instagram : @timurmisteri https://instagram.com/timurmisteri?igshid=MXJ4ZW54NzJsZGU4Yg== Tiktok : @timur_misteri https://www.tiktok.com/?_t=8hKRAw1t03l&_r=1 Spotify : Timur Misteri Podcast https://open.spotify.com/show/4SSg9TnDuYp0boEFzoR8TO?si=cu587WllStSMxcrkNwRZ3A&dd=1 Video update : Youtube : TIMUR MISTERI https://youtube.com/@TIMURMISTERI?si=nGvLmrDkL9L0qmNc  Copyright 2024, Timur Misteri Podcast     	Podcast Horror	Bahasa Indonesia	2024-08-30
2024-09-02	101	EPS #77 REYHAN, HASIL JUAL KERIS LEBIH DARI UMR SURABAYA!	Seorang komika asal surabaya yang berjuang mencari rezeki sendiri tanpa membebani orang tua nya dari smp hingga sekarang, usaha apapun dilakukannya hingga jual barang-barang antik.	podcast exit	Bahasa Indonesia	2024-08-30
2024-09-02	102	EPS 478 - FUAD SANG EYANG KAKUNG	KENAAALLAN DUUUHUULU *bergetar #MendoanDay	DONOTIAN	Bahasa Indonesia	2024-08-23
2024-09-02	103	#267 Berantakan	Menurut lo gambar episode ini rapih atau berantakan?	BKR Brothers	Bahasa Indonesia	2024-08-19
2024-09-02	104	286. Teman Asingku Yang Seru-Seru	Ngerasa ngga punya temen? BANYAK CARA PEMIRSA!!! Coba mata dan hatinya dibuka, siapa tau bisa ketemu sama yang disuka. Introvert jangan dijadiin alasan kalau memang belum bertemu yang nyaman... Episode kali ini, kami akan menceritakan bagaimana kami bertemu dengan stranger yang tidak selamanya danger, malah bisa jadi soulmate forever. Mulai dengan bertemu di tempat yang sama, dikenalkan oleh teman, bahkan jalur online. Semoga bisa membantu yah!!! Share juga ceritamu berkenalan dengan stanger via IG story dan mention @_rapot !!!	RezaAnkaRadhiniAbigail Potkes 	Bahasa Indonesia	2024-08-21
2024-09-02	105	"KESAKSIAN PENEMU BATU & TARING DARI ALAS ROBAN ""PEMBERI UANG GHAIB"" (EPS 357)"	Kesaksian Mas Riki sebagai pemain seni barongan mengalami kejadian mistis di tahun 2015. Ketika menampilkan seni tari barongan tiba-tiba Mas Riki diberi petunjuk untuk mengambil sebuah batu akik dan taring bertuah dibawah pohon nangka dikawasan alas roban. Mas Riki yang tak sadar membawa benda tersebut didatangi oleh sosok kakek tua dan memberitahu bahwa benda tersebut dapat memberi apa yang Mas Riki inginkan, termasuk mewujudkan uang ghaib.   Host : Mang Ei Narasumber : Mas Riki  Powered by Firstory Hosting	Malam Mencekam Podcast	Bahasa Indonesia	2024-09-01
2024-09-02	106	CUSTOMER SERVICE KENA MENTAL	karena kastamer kek anjeng	WORK LIFE TRAMPOLINE	Bahasa Indonesia	2024-08-28
2024-09-02	107	AYAT RUQYAH TINGKAT TINGGI PENGUSIR JIN/SIHIR YANG MEMBANDEL	Dengarkan ayat-ayat Ruqyah ini menggunakan headshet selama 30 menit sebelum tidur insya allah ayat RUQ'YAH ini akan mengeluarkan jin jahat yang berada dalam tubuh....lakukan setiap malam sebelum tidur sambil merebahkan badan.  ---   Support this podcast: https://podcasters.spotify.com/pod/show/qolbuofficiall/support	qolbu officiall	Bahasa Indonesia	2020-06-20
2024-09-02	108	RUMAH ROMBE || TAMAT	SUMBER KISAH: SIMPELMANT  Tinggalkan komentar dan berikan pendapatmu: https://open.firstory.me/user/clhkbe0z1049r01xob569atao/comments  Powered by Firstory Hosting	INDONESIAN HORROR STORY	Bahasa Indonesia	2024-08-30
2024-09-02	109	HAH!! 7 JAM TERSESAT MASUK PASAR SETAN DI GUNUNG LAWU!! 12 PENDAKI BINGUNG NYARIS TAK KEMBALI	HAH!! 7 JAM TERSESAT MASUK PASAR SETAN DI GUNUNG LAWU!! 12 PENDAKI BINGUNG NYARIS TAK KEMBALI  Jangan lupa follow kami di :  Instagram : @Besokpagi.adv https://www.instagram.com/besokpagi.adv/ Tiktok : @Besokpagi.adv https://www.tiktok.com/@besokpagi.adv Spotify : Besok Pagi (Podcast Pendakian Horor) https://open.spotify.com/show/2uUzEzgKAAmwrbNAspmKjh   Untuk update video terbaru bisa cek di : Youtube : Besok Pagi https://www.youtube.com/@BESOKPAGICH   Copyright 2024, Besok Pagi Channel  Powered by Firstory Hosting	Besok Pagi 	Bahasa Indonesia	2024-08-27
2024-09-02	110	Musuh Masyarakat | Eps 14: Kita Boleh Melawan Orang Tua	Kita akan memberikan senjata rahasia kita di episode kali ini.  ---  Suka dengerin Musuh Masyarakat? Dengerin yuk selengkapnya di sini  https://bit.ly/Musuh_Masyarakat  	NOICE	Bahasa Indonesia	2022-09-28
2024-09-02	111	Raja Harun dan Pengemis Palsu	Di suatu desa, hiduplah seorang laki-laki yang punya banyak harta. Tetapi, dia tidak ingin orang-orang mengetahuinya. Oleh karena itu, dia berusaha keras agar terlihat miskin. Suatu hari, dia menangis keras di depan Baginda Raja. Punya banyak harta kok menangis? Yuk simak terus kisahnya!  	Educa Studio	Bahasa Indonesia	2024-08-30
2024-09-02	112	Reza Rahadian Demo, Dulu Pendukung Berat Jokowi, Kini Punya Pesan Khusus	Aktor Reza Rahadian ikut berunjuk rasa menolak revisi Undang-Undang Pilkada di Dewan Perwakilan Rakyat. Kepada Bocor Alus Politik, Reza Rahadian mengaku dulunya sebagai pendukung Presiden Jokowi. Namun dinasti politik Jokowi membuatnya gerah dan tidak bisa diam lagi. Ia punya pesan khusus untuk Jokowi dan putranya. ——— Dukung jurnalisme independen Tempo dengan berlangganan lewat  s.id/enakdibaca. Unduh aplikasi Tempo untuk membaca berbagai liputan mendalam Tempo. 	Podcast Tempo Media	Bahasa Indonesia	2024-08-24
2024-09-02	113	"#386: New Nth Room: Middle Schoolers Deepfake Videos Of Mom, Sister, Classmates In ""Humiliation Room"""	South Korea is going through an erase all faces panic. Every single selfie is being wiped from the internet just in case. As a response - a male college student wrote on a forum -   “Put a finger down and ask yourself    Have I ever been asked out or confessed to? (Joke confessions do not count)   Do a lot of men try to talk to me even though I don’t talk to them first?  Have I ever looked into the mirror and resented my parents?  Can other people recognize me without makeup?  Do I weigh more than 145 pounds?  Do I frequent feminist online forums?  When I walk on the street, do children avoid me?   If you answered yes to more than 3 of these questions - don’t worry. Your rate of being a victim of sexual deep fakes is very low. Men have standards too. We don’t just deepfake any woman.”  This is the case of the “new Nth Rooms” where over 400 schools have been found to be operating illegal chatrooms where students are getting deepfaked into sexually explicit photos and videos.   A whole network of deep fake trading and creating has been found.  Most victims and perpetrators? Teenagers.   Full Source Notes: rottenmangopodcast.com   To learn more about listener data and our privacy practices visit: https://www.audacyinc.com/privacy-policy     Learn more about your ad choices. Visit https://podcastchoices.com/adchoices	Stephanie Soo & Ramble	English	2024-08-29
2024-09-02	114	619. Cara mengatasi distraksi biar fokus	"🥳Spesial diskon 50% Ebook Quarter Life Crisis Playbook  Cara mendapatkan ebook nya disini 1. Masuk ke selfdev.id/merdeka 2. Klik ""Dapatkan sekarang"" 3. Isi data nama, no wa, dan email 4. Pilih metode pembayaran 5. *Masukan kode voucher yaitu merdeka (kecil semua)* 6. Klik ""Selesaikan Pembayaran"" 7. Selesaikan pembayaran Anda. 8. Jika sudah, cek email notifikasimu.   Di sana kamu bisa dapatkan link akses ke platform yang kami gunakan dan dapatkan ebook nya di sana!  More info: 08158133373 (Growmin)"	Andreas Bordes	Bahasa Indonesia	2024-08-29
2024-09-02	115	Berhenti Mengharapkan seseorang - Ustadz Hanan Attaki	Berhenti Mengharapkan seseorang - Ustadz Hanan Attaki  ---   Support this podcast: https://podcasters.spotify.com/pod/show/syifquran/support	Muhammad Nurdiansyah	Bahasa Indonesia	2020-12-27
2024-09-02	116	Dzikir Petang | Syeikh Misyari Al Farasy	Dzikir Petang | Syeikh Misyari Al Farasy	Abi-nya Umair	Bahasa Indonesia	2023-10-09
2024-09-02	117	Rio Dumatubun: Kelakuan Aldi Taher Kayak Orang Giting	Wah apa bener ya kalau Aldi Taher itu pake... pake apa hayo?? jangan berperasangka buruk ah, mending langsung nonton aja deh yuk! #LucuTerusDiSpotify #NgakakSemaunya #WaktunyaSemaunya  ABOUT US: Saran dan kolaborasi: ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠podcast@kgmedia⁠     	SUCI KompasTV - Medio by KG Media	Bahasa Indonesia	2023-11-29
2024-09-02	118	THEATER OF MIND : MALING CABE DIRI ITU BERJUALAN?	Eps 389  Theater of mind kembali diri ini, tapi ini jualan cabe atau maling cabe sih? 	Podkesmas Asia 	Bahasa Indonesia	2024-07-26
2024-09-02	119	Paralajang Bercerita: Kisah Horor Paralajang	Terimakasih buat Paralajang yang udah mau berbagi kisah horrornya semoga hal tersebut tidak akan pernah terjadi kembali. Nah, Kalo Paralajang ada yang mau berbagi kisahnya yang mau di ceritakan langsung aja bisa kirim via DM ya Paralajang!	Podcast Belagu	Bahasa Indonesia	2024-08-31
2024-09-02	120	287. TTD, ANYA GERALDINE!	TTD (Tanya-Tanya, Dong!) episode kali ini kami akan berbincang dengan wanita yang sangat cantik parasnya, palugada nan serbabisa anaknya orangnya!!! Bayangkan pemirsa... Model iya, akting iya, pengusaha iya, kata gue sih MARUK ya!!! Semoga bisa jadi inspirasi agar hidup ini penuh terisi dengan investasi. Lah tapi bentar-bentar, nih dia tetiba jadi penyanyi?! Tapi gak pake nama asli? Gimana sik! Super plot twist! Terimalah blak-blakannya, @anyageraldine pemirsa!!!	RezaAnkaRadhiniAbigail Potkes 	Bahasa Indonesia	2024-08-25
2024-09-02	121	Pod. 284 Ariyo Wahab TALKS ABOUT WHAT IT TAKES TO BE A ROCK STAR AT 50	"In today’s episode of The Friday Podcast, Ariyo Wahab talks about being a parent, almost creating a boyband and a mother's prayers.  ""Papa gak pulang baby, Papa gak bawa uang baby"" who doesn't know this rock anthem? today the lead vocalist of the supergroup formed consisting of well-known Indonesian musicians is here! Ariyo has also made a name for himself as an actor, starring in various Indonesian films and television series. Being a rock star and a movie star there's a certain lifestyle that comes to it, which usually doesn't align to the lifestyle of being a parent, Ariyo shares how being married changed him for the better and help him juggle between being a rock star and a parent to his children. ----------------  Thank you for watching, don't forget to subscribe and turn on notifications on these videos to be the first to know our next episodes. Also, if you're reading until this section, comment down below your favorite part from this podcast!  Makna Talks is available on Spotify and Youtube.   Twitter: @maknatalks Instagram: @maknatalks Business: talks@maknagroup.com"	Makna Talks	English	2024-08-30
2024-09-02	122	Kunci Saat Takut, Cemas, Sedih, Khawatir Datang Dalam Hidup - Ustadz Abdul Somad	Ustaz Abdul Somad menempuh pendidikan formal terakhir saat ini hingga jenjang doktor dalam bidang Ilmu Hadis, secara terturut-turut pendidikannya dapat dituliskan sebagai berikut:   SD Al-Washliyah, Medan, tamat 1990  Madrasah Tsanawiyah Mu'allimin Al-Washliyah, Medan, tamat 1993   Madrasah Aliyah Nurul Falah, Air Molek, In-hu, tamat 1996   S1 Universitas Al-Azhar, Mesir, 2002   S2 Dar El Hadith El Hassania, Kerajaan Maroko, 2006   S3 Universitas Islam Omdurman, Sudan, 2019   ---   Support this podcast: https://podcasters.spotify.com/pod/show/danissasmito/support	DANISSASMITO	Bahasa Indonesia	2020-04-02
2024-09-02	123	Supaya Ditolong Allah Walaupun Kita Banyak Dosa - Ust Hanan Attaki	Supaya Ditolong Allah Walaupun Kita Banyak Dosa  ---   Support this podcast: https://podcasters.spotify.com/pod/show/kh-anwar-zahid6/support	KH Anwar Zahid	Bahasa Indonesia	2021-05-06
2024-09-02	124	LIBURAN IMPIAN KAMI BERSAMA ISTRI	 Segmen 1Mamat pernah jadi sindikat maling handphone & Dosa pertama yang dipikirkan Abdur waktu umroh adalah merasa dzalim sama Istri Segmen 2Cerita malam pertama Mamat dengan sang Istri   Dengarkan episode lainnya dari Podcast Abdur & Mamar di aplikasi NOICE. Download NOICE di sini!  	NOICE	Bahasa Indonesia	2024-08-03
2024-09-02	126	KH ZAINUDIN MZ - BIKIN MERINDING CERAMAH YANG BISA MENGGETARKAN JIWA	KH ZAINUDIN MZ - BIKIN MERINDING CERAMAH YANG BISA MENGGETARKAN JIWA  ---   Support this podcast: https://podcasters.spotify.com/pod/show/kh--zainuddin-mz/support	K.H. ZAINUDDIN MZ	Bahasa Indonesia	2020-08-25
2024-09-02	127	Ustadz Das'ad Latif - PECAH! Ceramah Lucu Ustad Das'ad Latif Terbaru 2020 (Episode #298)	Ustadz Das'ad Latif - PECAH! Ceramah Lucu Ustad Das'ad Latif Terbaru 2020 (Episode #298)	Invoice Andesti	Bahasa Indonesia	2020-11-06
2024-09-02	128	"Laku Bercerita ""Apa sih bedanya kuliah S1 dan S2 ?"""	Sama ga sih suasana belajar S1 dan S2 ? Susahan mana? Masih bisa ikut organisasi ga sih ? Yuk simak podcast ini aja, isinya pengalaman gimana sih rasanya jadi anak S1 dan S2. Semoga bermanfaat	Fadhilah Aunillah	Bahasa Indonesia	2020-03-16
2024-09-02	129	menyederhanakan jatuh cinta	"Buku keduaku berjudul ""Sebelas Malam"" sudah bisa dipesan pada tautan berikut: https://tr.ee/pQOUG06U9c"	Firdhani Zihan	Bahasa Indonesia	2024-07-06
2024-09-02	130	S2E58. Finding and Building The Right Partner - Yehezkiel Penalosa	Menyadari dan mempelajari lebih jauh bagaimana melihat masalah-masalah umum, lingkungan, konsumsi sosial media, membangun ekspektasi yang membuat kamu sulit menemukan pasangan. Temukan juga jawaban untuk memintasi keraguan hubungan ketika masuk di fase pendekatan atau hubungan mula-mula. Selengkapnya pada episode kali ini! Hosted by ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠Yehezkiel Penalosa⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ My E-Book:⁠ https://lynk.id/provers⁠ Dukung podcast ini: ⁠https://saweria.co/provers⁠ Community: ⁠Instagram⁠ and ⁠Discord	Yehezkiel Penalosa	Bahasa Indonesia	2024-08-30
2024-09-02	131	#266 Pick Me Up Before You Go Go	Orang kalo naik gunung katanya keliatan sifat aslinya, termasuk cewek pick-me.	BKR Brothers	Bahasa Indonesia	2024-08-13
2024-09-02	132	Eps.311 Tidur Bareng Kuntilanak di Hotel, Jakarta Selatan	Tinggalkan komentar dan berikan pendapatmu: https://open.firstory.me/user/clgvux7ko02m801tbgozy7jlh/comments  Powered by Firstory Hosting	Annaolive	Bahasa Indonesia	2024-08-28
2024-09-02	133	Hantu Kepala di Desa Cikadut	Kepala itu meneror keluargaku siang dan malam  Kirimkan cerita horor kalian ke deny.ristanto1104@gmail.com  Dengerin podcast RHI di berbagai platform favoritmu https://open.firstory.me/user/rumah-horor-indonesia/platforms  Leave a comment and share your thoughts: https://open.firstory.me/user/cljqmlaja02m701y87imo7zvy/comments  Powered by Firstory Hosting	Deny Ristanto	Bahasa Indonesia	2024-08-30
2024-09-02	134	Gagal bukan berarti berakhir kan?	Sering banget kita melihat sebuah kegagalan adalah sebuah bentuk untuk kita akhirnya mengakhiri apa yang sudah kita bentuk dan jalani sebelumnya, padahal itu hanya salah satu jalan yang bisa buat kita jauh lebih belajar dari sebelumnya	Nathan	Bahasa Indonesia	2024-08-05
2024-09-02	135	36. Surat Yaasin	Surah Yasin atau Surah Ya Sin (bahasa Arab:يس) adalah surah ke-36 dalam al-Qur'an. Surah ini terdiri atas 83 ayat, serta termasuk golongan surah-surah Makkiyah. Dinamai Ya Sin karena surah ini dimulai dengan dua abjad Arab Ya Sin. Sebagaimana halnya arti tersembunyi huruf-huruf abjad Alif Lam Mim atau Nun yang terletak pada permulaan beberapa surah Al-Quran, maka demikian pula arti Ya Sin yang termasuk dalam kategori ayat mutasyaabihat. Nama lain Man'amah, Rafi'ah, Khafizah. Klasifikasi: Makkiyah Surah ke 36 Juz Juz 22 (ayat 1-21) Juz 23 (ayat 22-83) Statistik Jumlah ruku' 5 ruku Jumlah ayat 83 ayat	Fans Syekh Muhammad Jaber	Bahasa Indonesia	2021-03-14
2024-09-02	136	199 KISAH PENDAKI TERSESAT DI GUNUNG CIREMAI TAHUN 2009	==============================================================================  Untuk teman-teman semua jika mempunyai cerita atau pengalaman Horornya saat di gunung atau dimanapun dan ingin berbagi ceritanya langsung, bisa hubungi team via Email : ngopihoror@gmail.com  Instagram : officialsumaradiwijaya Youtube : Sumar Adi Wijaya   Copyright 2024, Sumar Adi Wijaya    	Sumar Adi Wijaya	Bahasa Indonesia	2024-08-31
2024-09-02	137	SIAPA PENGIRIM SANTET ITU! SEMUA TERBUKA DISINI (BOOK OF BUHUL) PART 15 -TDHS- Podcast Bagi Horror	The Darkes Hour Series (BOOK OF BUHUL) A Story by YP Widatama  DENGERIN FRIPOD : ⁠⁠⁠⁠⁠⁠https://open.spotify.com/show/0zx1cyrZRgv7TzSs7lbZTp⁠⁠⁠⁠⁠⁠  Form google kirim cerita kamu : https://docs.google.com/forms/d/e/1FAIpQLSeinGynwmonhbE6qYSAttVtaNpqi5zNihAFOX1rvoXnAIAzdA/viewform?pli=1\  Kirim cerita ke : podcastbagihorror@gmail.com  twitter: ⁠⁠⁠⁠⁠⁠http://www.twitter.com/bagihorror ⁠⁠⁠⁠⁠⁠  instagram : ⁠⁠⁠⁠⁠⁠http://www.instagram.com/podcastbagihorror ⁠⁠⁠⁠⁠⁠ ⁠⁠⁠⁠⁠⁠ ⁠⁠⁠⁠⁠⁠   business inquiries : podcastbagihorror@gmail.com   backsound music : - MYUU (https://www.youtube.com/c/myuuji) - https://www.youtube.com/user/VivEKhsihb  Powered by Firstory Hosting	SAYS Media Network	Bahasa Indonesia	2024-08-30
2024-09-02	138	Indra Jegel: Orang Jelek Identik Sama Kriminal?	Indra Jegel lagi agak kesel nih karena katanya oerang jelek suka dibilang kriminal, padahal kan... emang bener~ hihihi #LucuTerusDiSpotify #NgakakSemaunya #WaktunyaSemaunya  ABOUT US: Saran dan kolaborasi: ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠podcast@kgmedia⁠    	SUCI KompasTV - Medio by KG Media	Bahasa Indonesia	2023-11-27
